date1,state,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
09/04/2020,West Bengal,103,82,16,5,185
10/04/2020,West Bengal,116,95,16,5,211
11/04/2020,West Bengal,116,95,16,5,211
12/04/2020,West Bengal,134,110,19,5,244
13/04/2020,West Bengal,152,116,29,7,268
14/04/2020,West Bengal,190,147,36,7,337
15/04/2020,West Bengal,213,169,37,7,382
16/04/2020,West Bengal,231,182,42,7,413
17/04/2020,West Bengal,255,194,51,10,449
18/04/2020,West Bengal,287,222,55,10,509
19/04/2020,West Bengal,310,236,62,12,546
20/04/2020,West Bengal,339,261,66,12,600
21/04/2020,West Bengal,392,307,73,12,699
22/04/2020,West Bengal,423,335,73,15,758
23/04/2020,West Bengal,456,362,79,15,818
24/04/2020,West Bengal,514,396,103,15,910
25/04/2020,West Bengal,571,450,103,18,1021
26/04/2020,West Bengal,611,488,105,18,1099
27/04/2020,West Bengal,649,524,105,20,1173
28/04/2020,West Bengal,697,568,109,20,1265
29/04/2020,West Bengal,725,584,119,22,1309
30/04/2020,West Bengal,758,612,124,22,1370
01/05/2020,West Bengal,795,623,139,33,1418
02/05/2020,West Bengal,795,623,139,33,1418
03/05/2020,West Bengal,922,738,151,33,1660
04/05/2020,West Bengal,963,777,151,35,1740
05/05/2020,West Bengal,1259,908,218,133,2167
06/05/2020,West Bengal,1344,840,364,140,2184
07/05/2020,West Bengal,1456,948,364,144,2404
08/05/2020,West Bengal,1548,1033,364,151,2581
09/05/2020,West Bengal,1678,1154,364,160,2832
10/05/2020,West Bengal,1786,1243,372,171,3029
11/05/2020,West Bengal,1939,1337,417,185,3276
12/05/2020,West Bengal,2063,1374,499,190,3437
13/05/2020,West Bengal,2173,1363,612,198,3536
14/05/2020,West Bengal,2290,1381,702,207,3671
15/05/2020,West Bengal,2377,1394,768,215,3771
16/05/2020,West Bengal,2461,1407,829,225,3868
17/05/2020,West Bengal,2576,1472,872,232,4048
18/05/2020,West Bengal,2677,1480,959,238,4157
19/05/2020,West Bengal,2825,1575,1006,244,4400
20/05/2020,West Bengal,2961,1637,1074,250,4598
21/05/2020,West Bengal,3103,1714,1136,253,4817
22/05/2020,West Bengal,3197,1745,1193,259,4942
23/05/2020,West Bengal,3332,1846,1221,265,5178
24/05/2020,West Bengal,3459,1909,1281,269,5368
25/05/2020,West Bengal,3667,2056,1339,272,5723
26/05/2020,West Bengal,3816,2124,1414,278,5940
27/05/2020,West Bengal,4009,2240,1486,283,6249
28/05/2020,West Bengal,4192,2325,1578,289,6517
29/05/2020,West Bengal,4536,2573,1668,295,7109
30/05/2020,West Bengal,4813,2736,1775,302,7549
31/05/2020,West Bengal,5130,2851,1970,309,7981
01/06/2020,West Bengal,5501,3027,2157,317,8528
02/06/2020,West Bengal,5772,3141,2306,325,8913
03/06/2020,West Bengal,6168,3423,2410,335,9591
04/06/2020,West Bengal,6508,3583,2580,345,10091
05/06/2020,West Bengal,6876,3753,2768,355,10629
06/06/2020,West Bengal,7303,4025,2912,366,11328
07/06/2020,West Bengal,7738,4236,3119,383,11974
08/06/2020,West Bengal,8187,4488,3303,396,12675
09/06/2020,West Bengal,8613,4743,3465,405,13356
